brand,address,description,founding_year,num_of_products
Trm,Address for Trm,Description for Trm,2010,2
Nakoda,Address for Nakoda,Description for Nakoda,1956,41
Nature Protect,Address for Nature Protect,Description for Nature Protect,2017,3
Bionova,Address for Bionova,Description for Bionova,2005,65
NUTRASHIL,Address for NUTRASHIL,Description for NUTRASHIL,1926,70
Sapphire,Address for Sapphire,Description for Sapphire,1925,31
Graminway,Address for Graminway,Description for Graminway,2020,13
IRICH,Address for IRICH,Description for IRICH,1973,6
Cello,Address for Cello,Description for Cello,1993,95
Fit & Flex,Address for Fit & Flex,Description for Fit & Flex,1979,58
Safe Harvest,Address for Safe Harvest,Description for Safe Harvest,1936,95
Cadbury,Address for Cadbury,Description for Cadbury,1962,43
Steelo,Address for Steelo,Description for Steelo,1995,23
Liril,Address for Liril,Description for Liril,1961,93
Pantai,Address for Pantai,Description for Pantai,1967,83
Spice Story,Address for Spice Story,Description for Spice Story,1952,84
Mother's Recipe,Address for Mother's Recipe,Description for Mother's Recipe,1952,94
Pekers,Address for Pekers,Description for Pekers,1971,64
Red Hunt,Address for Red Hunt,Description for Red Hunt,1925,14
Shareat,Address for Shareat,Description for Shareat,1997,32
Quick Dry,Address for Quick Dry,Description for Quick Dry,1914,37
Bisk Farm,Address for Bisk Farm,Description for Bisk Farm,2015,69
Azafran,Address for Azafran,Description for Azafran,1907,73
Pears,Address for Pears,Description for Pears,2004,5
INATUR ,Address for INATUR ,Description for INATUR ,1946,97
Natures Essence,Address for Natures Essence,Description for Natures Essence,2018,62
Bamboooz,Address for Bamboooz,Description for Bamboooz,1935,5
Dettol,Address for Dettol,Description for Dettol,1921,35
Pro Nature,Address for Pro Nature,Description for Pro Nature,2018,85
Hawkins Futura,Address for Hawkins Futura,Description for Hawkins Futura,1974,34
Gowardhan,Address for Gowardhan,Description for Gowardhan,1997,2
Townbus,Address for Townbus,Description for Townbus,1967,0
Brut,Address for Brut,Description for Brut,1979,1
Fuschia,Address for Fuschia,Description for Fuschia,1997,4
Sunfeast,Address for Sunfeast,Description for Sunfeast,1985,53
Omega,Address for Omega,Description for Omega,1931,95
Slurrp Farm,Address for Slurrp Farm,Description for Slurrp Farm,1920,42
Elovera,Address for Elovera,Description for Elovera,1949,59
Soulflower,Address for Soulflower,Description for Soulflower,1931,7
Wagh Bakri,Address for Wagh Bakri,Description for Wagh Bakri,1924,63
Aer,Address for Aer,Description for Aer,1911,84
ACT II,Address for ACT II,Description for ACT II,1984,65
Akshayakalpa,Address for Akshayakalpa,Description for Akshayakalpa,1993,89
Priya,Address for Priya,Description for Priya,1977,94
Dentoshine  ,Address for Dentoshine  ,Description for Dentoshine  ,1986,1
BORGES,Address for BORGES,Description for BORGES,1978,7
Odonil ,Address for Odonil ,Description for Odonil ,1973,27
DP,Address for DP,Description for DP,1953,28
Medimix,Address for Medimix,Description for Medimix,1924,6
Mysore Sandal,Address for Mysore Sandal,Description for Mysore Sandal,1941,50
Kohinoor,Address for Kohinoor,Description for Kohinoor,2002,9
MOM Meal of the Moment,Address for MOM Meal of the Moment,Description for MOM Meal of the Moment,1976,58
Bio-Oil,Address for Bio-Oil,Description for Bio-Oil,1943,85
Classmate,Address for Classmate,Description for Classmate,1918,56
Paper Boat,Address for Paper Boat,Description for Paper Boat,1907,8
PRISTINE,Address for PRISTINE,Description for PRISTINE,1937,97
999,Address for 999,Description for 999,1987,24
Zoe,Address for Zoe,Description for Zoe,1942,92
Annapoorna,Address for Annapoorna,Description for Annapoorna,1919,38
Himalaya,Address for Himalaya,Description for Himalaya,1981,60
United,Address for United,Description for United,1969,73
Timios,Address for Timios,Description for Timios,1980,75
On1y,Address for On1y,Description for On1y,2016,46
Asian,Address for Asian,Description for Asian,2010,83
Wipro,Address for Wipro,Description for Wipro,2013,15
Appitas,Address for Appitas,Description for Appitas,1937,61
Grb,Address for Grb,Description for Grb,1928,15
Kaya Clinic,Address for Kaya Clinic,Description for Kaya Clinic,1938,47
Olay,Address for Olay,Description for Olay,1952,99
