date,product,quantity_sold
9/3/2024,Herbal Sensitive pH Balanced Liquid Handwash,719
1/14/2024,"Rechargeable Emergency Inverter Bulb - 9W, Cool Daylight, B22 (EMB-9W)",3476
10/14/2024,4700BC Instant Popcorn - BBQ 60 g + Radler - Mint Lime 300 ml Can,7602
9/24/2024,Dawn Organic English Breakfast Black Tea,4778
4/27/2024,Homogenised Standardised Milk,5432
7/10/2024,Rushikanti Multani Mitti With Cucumber,9870
4/18/2024,Lotus Tealight Holder,4002
10/10/2024,Tongue Cleaner,8499
7/26/2024,Door/Balcony/Bathroom/Washroom Cotton Waste Mat,306
1/10/2024,Rosemary,3751
3/11/2024,Super Oats  - Nuts & Seeds,8432
2/25/2024,Deodorant Spray - Marquis,2925
5/2/2024,Mix - Dal Rice,2813
9/10/2024,Opalware Quarter Plate - English Lavender,2207
12/24/2024,Artisanal Chai Masala,8526
5/13/2024,Chocolate Coated Fruit & Nuts,5815
10/1/2024,Desi Twist - Creamy Kulfi,1780
11/29/2024,Multipurpose Plastic Dry Fruits/Sweets Table Tray - Bb-1176,792
2/22/2024,Palakkadan Matta Vadi Rice - Long Grain,7093
10/8/2024,Madrasi Sonff - Mouth Freshener,2359
9/13/2024,Strong and Long Naturals Shampoo,3914
4/29/2024,Non-Stick Appam Patra/Panniyarkal With Steel Lid - Diamond Series,2876
1/7/2024,Rajma Masala,2623
9/25/2024,Yippee Noodles - Mood Masala,9851
8/1/2024,Heat to Eat - Cheesy Pasta With Black Olives,3957
3/20/2024,Masala - Chhole,4787
6/30/2024,Cup Mona Coffee Mugs - GL110,6625
1/8/2024,Pure Mint Soap,8005
11/10/2024,Oil in Lotion - Cherry Blossom & Jojoba Oil,3856
2/7/2024,Cinnamon Milk Chocolate Dipped Cookies,5464
4/29/2024,Salted Puffed Rice/Kadle Puri/Murmure,6020
8/26/2024,"Stainless Steel Lunch Box/Tiffin Set - Red, BB 577 2",3673
3/14/2024,Anti-Bacterial Hand Sanitiser,7424
2/9/2024,Protein Milkshake - Banana & Honey,6147
3/16/2024,Ginger Milk Chocolate,5061
4/5/2024,Stainless Steel Multipurpose Cook Knife - Red,9531
4/17/2024,Lemon Pure Aroma Essential Oil,1768
2/10/2024,4700BC Microwave Popcorn - Butter 85 g + Heineken 0.0 - 330 ml Can,1370
4/27/2024,Steak Knife 9 cm Soft Grip Handle New Handle,6553
9/2/2024,100% Orange Juice,7830
2/15/2024,2-In-1 Insect Killer Spray - 100% Kill On Mosquitoes & Cockroaches,1882
9/7/2024,Scub-A-Dub-Dub - Bath Essentials,6815
10/31/2024,"Kitchen Multiutility Plastic Tray No. 2 - Pink, L1662-LT",2861
3/19/2024,Sriracha Sauce - Jalapenos & Garlic,5444
12/5/2024,Organic (Tur)Dal - Arhar,263
4/20/2024,Vitamin C Face Mask With Vitamin C & Kaolin Clay For Skin Illuminitation,3293
5/5/2024,"Snacks - Melts, Carrot & Cumin, 9+ Months, 100% Natural & Healthy",6405
3/25/2024,Mosquito Repellent Agarbathi,5054
9/19/2024,Whisky Glass - Sylvana,4012
3/8/2024,Tea Tree Essential Oil,9161
11/30/2024,Base Camp Body Lotion - For Men,963
3/11/2024,Toothbrush - Kids (Soft),7884
9/3/2024,Scarlet Love For Women,1341
8/1/2024,Naphthalene Balls,9605
12/17/2024,Galaxy Clip Mop - Colour,76
4/10/2024,"7X After Shave Balm Spearmint - With Menthol, Vitamin C & Hyaluronic Acid",544
2/2/2024,Xylitol Powder,1143
3/24/2024,Sanitise Disinfectant Floor Cleaner,6909
9/11/2024,Amritsari Shahi Warian,2863
4/12/2024,Chia Cookies,4504
11/23/2024,"Decorative Wax Scented Candles & Holder - Orange, Bb-1263-5, Vanilla",5273
12/18/2024,"Light Tonic Water - All Natural, Low In Sugar",2897
3/19/2024,"Select - Chai Masala, Nutmeg",7158
1/26/2024,Normal Shampoo Restore+ Strengthen,1649
1/7/2024,Anjeer/Figs/Atti Hannu,9375
11/3/2024,Absolute Calcium Bone For Pets,157
11/5/2024,Masala - Chhole,921
2/9/2024,"Body Spray - Perfumed, Respect",880
2/28/2024,Yippee Noodles - Mood Masala,1563
3/7/2024,Sambhar Masala,7928
6/23/2024,Chyawanprash Special - All Round Immunity & Protection,4623
1/18/2024,Stainless Steel Flat Botton Urli - No. 11,9295
12/30/2024,"Bragg Organic - Apple Cider Vinegar, 16 Oz 473ml + Dabur Honey 50gm",1043
6/3/2024,Aqua Water Colour Pens 24 Shades Plastic Pack,9221
2/24/2024,Honey Woman Deodorant,4364
9/2/2024,Nutella,7124
4/4/2024,Organic - Brown Sugar/Sakkare,3267
9/15/2024,Rosemary,2071
1/17/2024,"Almond/Badam - Mamra, Giri",1205
7/29/2024,Youthrx Anti Ageing Firming Face Masque,2701
4/25/2024,Organic - Haricot Beans in Water,4826
11/25/2024,"Cane Basket Set - Mini + Small + Medium + Round Cutlery Stand, With Jali Net",4816
10/2/2024,White Chocolate Bar,3137
